IATA,ICAO,Name,Country,City,UTC,Latitude,Longitude
EBG,SKEB,El Bagre Airport,Colombia,El Bagre,,,
EBH,DAOY,El Bayadh Airport,Algeria,El Bayadh,,,
EBJ,EKEB,Esbjerg Airport,Denmark,Esbjerg,,,
EBL,ORER,Erbil International Airport,Iraq,Arbil,,,
EBM,DTTR,El Borma Airport,Tunisia,El Borma,,,
EBN,,Ebadon Airport,Marshall Islands,Ebadon Island,,,
EBO,,Ebon Airport,Marshall Islands,Ebon Atoll,,,
EBS,KEBS,Webster City Municipal Airport,United States of America,Webster City,,,
EBU,LFMH,Saint-Étienne-Bouthéon Airport,France,"Andrézieux-Bouthéon, Loire",,,
EBW,FKKW,Ebolowa Airport,Cameroon,Ebolowa,,,
ECA,,Iosco County Airport,United States of America,East Tawas,,,
ECG,KECG,Elizabeth City Regional Airport & Coast Guard Air Station,United States of America,Elizabeth City,,,
ECH,YECH,Echuca Airport,Australia,,,,
ECI,MNCE,Costa Esmeralda Airport,Nicaragua,Tola,,,
ECN,LCEN,Ercan International Airport,Cyprus,Tymbou (Kirklar),,,
ECO,,El Encanto Airport,Colombia,El Encanto,,,
ECP,KECP,Northwest Florida Beaches International Airport,United States of America,Panama City Beach,,,
ECR,,El Charco Airport,Colombia,El Charco,,,
ECS,KECS,Mondell Field,United States of America,Newcastle,,,
ECV,LECU,Madrid-Cuatro Vientos Airport,Spain,Madrid,,,
EDB,HSDB,Al Dabbah Airport,Sudan,Al Dabbah,,,
EDD,YERL,Erldunda Airport,Australia,Ghan,,,
EDE,KEDE,Northeastern Regional Airport,United States of America,Edenton,,,
EDF,PAED,Elmendorf Air Force Base,United States of America,Anchorage,,,
EDI,EGPH,Edinburgh Airport,United Kingdom,Edinburgh,,,
EDK,KEQA,Captain Jack Thomas El Dorado Airport,United States of America,El Dorado,,,
EDL,HKEL,Eldoret International Airport,Kenya,Eldoret,,,
EDM,LFRI,La Roche-sur-Yon Les Ajoncs Airport,France,La Roche-sur-Yon,,,
EDN,UHWE,Yedinka Airport,Russia,Yedinka,,,
EDO,LTFD,Balıkesir Koca Seyit Airport,Turkey,Edremit,,,
EDQ,,Erandique Airport,Honduras,Erandique,,,
EDR,YPMP,Pormpuraaw Airport,Australia,Pormpuraaw,,,
EDW,KEDW,Edwards Air Force Base,United States of America,Edwards,,,
EEA,SNCP,Planalto Serrano Regional Airport,Brazil,Correia Pinto,,,
EED,KEED,Needles Airport,United States of America,Needles,,,
EEK,PAEE,Eek Airport,United States of America,Eek,,,
EEN,KEEN,Dillant Hopkins Airport,United States of America,Keene,,,
EES,,Berenice International Airport / Banas Cape Air Base,Egypt,Berenice Troglodytica,,,
EFD,KEFD,Ellington Airport,United States of America,Houston,,,
EFG,,Efogi Airport,Papua New Guinea,Efogi,,,
EFK,KEFK,Northeast Kingdom International Airport,United States of America,Newport,,,
EFL,LGKF,Kefallinia Airport,Greece,Kefallinia Island,,,
EFW,KEFW,Jefferson Municipal Airport,United States of America,Jefferson,,,
EGA,AYEN,Engati Airstrip,Papua New Guinea,Engati,,,
EGC,LFBE,Bergerac Dordogne-Périgord airport,France,Bergerac,,,
EGE,KEGE,Eagle County Regional Airport,United States of America,Eagle,,,
EGH,HEGR,El Jora Airport,Egypt,El Jora,,,
EGI,KEGI,Duke Field,United States of America,Crestview,,,
EGL,HANG,Negele Airport,Ethiopia,Negele Borana,,,
